"long","lat","order","hole","piece","group","id","lab"
-502057.66027832,6829392.58312988,22,FALSE,"1","Cardiff.1","Cardiff","a"
-491400.67041016,6847813.72412109,23,FALSE,"1","Cardiff.1","Cardiff","b"
-470119.89007568,6847794.36132813,24,FALSE,"1","Cardiff.1","Cardiff","c"
-459495.53820801,6829355.05987549,25,FALSE,"1","Cardiff.1","Cardiff","d"
-470152.23339844,6810935.11309815,26,FALSE,"1","Cardiff.1","Cardiff","e"
-491433.17889404,6810953.27191162,27,FALSE,"1","Cardiff.1","Cardiff","f"
-502057.66027832,6829392.58312988,28,FALSE,"1","Cardiff.1","Cardiff","g"
-465861.16027832,6850641.68312988,22,FALSE,"1","Newport.1","Newport","a"
-455204.17041016,6869062.82412109,23,FALSE,"1","Newport.1","Newport","b"
-433923.39007568,6869043.46132813,24,FALSE,"1","Newport.1","Newport","c"
-423299.03820801,6850604.15987549,25,FALSE,"1","Newport.1","Newport","d"
-433955.73339844,6832184.21309815,26,FALSE,"1","Newport.1","Newport","e"
-455236.67889404,6832202.37191162,27,FALSE,"1","Newport.1","Newport","f"
-465861.16027832,6850641.68312988,28,FALSE,"1","Newport.1","Newport","g"
-429664.66027832,6871890.78312988,22,FALSE,"1","Monmouthshire.1","Monmouthshire","a"
-419007.67041016,6890311.92412109,23,FALSE,"1","Monmouthshire.1","Monmouthshire","b"
-397726.89007568,6890292.56132813,24,FALSE,"1","Monmouthshire.1","Monmouthshire","c"
-387102.53820801,6871853.25987549,25,FALSE,"1","Monmouthshire.1","Monmouthshire","d"
-397759.23339844,6853433.31309815,26,FALSE,"1","Monmouthshire.1","Monmouthshire","e"
-419040.17889404,6853451.47191162,27,FALSE,"1","Monmouthshire.1","Monmouthshire","f"
-429664.66027832,6871890.78312988,28,FALSE,"1","Monmouthshire.1","Monmouthshire","g"
-465861.16027832,6893139.88312988,22,FALSE,"1","Torfaen.1","Torfaen","a"
-455204.17041016,6911561.02412109,23,FALSE,"1","Torfaen.1","Torfaen","b"
-433923.39007568,6911541.66132813,24,FALSE,"1","Torfaen.1","Torfaen","c"
-423299.03820801,6893102.35987549,25,FALSE,"1","Torfaen.1","Torfaen","d"
-433955.73339844,6874682.41309815,26,FALSE,"1","Torfaen.1","Torfaen","e"
-455236.67889404,6874700.57191162,27,FALSE,"1","Torfaen.1","Torfaen","f"
-465861.16027832,6893139.88312988,28,FALSE,"1","Torfaen.1","Torfaen","g"
-502057.66027832,6914388.98312988,22,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","a"
-491400.67041016,6932810.12412109,23,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","b"
-470119.89007568,6932790.76132813,24,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","c"
-459495.53820801,6914351.45987549,25,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","d"
-470152.23339844,6895931.51309815,26,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","e"
-491433.17889404,6895949.67191162,27,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","f"
-502057.66027832,6914388.98312988,28,FALSE,"1","Blaenau_Gwent.1","Blaenau_Gwent","g"
-502057.66027832,6871826.98312988,22,FALSE,"1","Caerphilly.1","Caerphilly","a"
-491400.67041016,6890248.12412109,23,FALSE,"1","Caerphilly.1","Caerphilly","b"
-470119.89007568,6890228.76132813,24,FALSE,"1","Caerphilly.1","Caerphilly","c"
-459495.53820801,6871789.45987549,25,FALSE,"1","Caerphilly.1","Caerphilly","d"
-470152.23339844,6853369.51309815,26,FALSE,"1","Caerphilly.1","Caerphilly","e"
-491433.17889404,6853387.67191162,27,FALSE,"1","Caerphilly.1","Caerphilly","f"
-502057.66027832,6871826.98312988,28,FALSE,"1","Caerphilly.1","Caerphilly","g"
-538254.16027832,6850577.88312988,22,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","a"
-527597.17041016,6868999.02412109,23,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","b"
-506316.39007568,6868979.66132813,24,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","c"
-495692.03820801,6850540.35987549,25,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","d"
-506348.73339844,6832120.41309815,26,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","e"
-527629.67889404,6832138.57191162,27,FALSE,"1","Vale_of_Glam.1","Vale_of_Glam","f"
